time,current,voltage
2.25114145,-5.94692083e-05,9.99974282
2.25139145,-5.94030469e-05,9.99961782
2.25145395,-5.93843109e-05,9.99958272
2.25157895,-5.93475388e-05,9.99950789
2.2516102,-5.93382547e-05,9.99948822
2.2516727,-5.93198119e-05,9.99944772
2.25168833,-5.93151784e-05,9.99943735
2.25171958,-5.93059428e-05,9.99941633
2.25172739,-5.93036282e-05,9.99941101
2.25174301,-5.92990069e-05,9.99940031
2.25174692,-5.92978501e-05,9.99939762
2.25175473,-5.92955385e-05,9.99939222
2.25177036,-5.92909133e-05,9.99938135
2.25180161,-5.92834795e-05,9.99935931
2.25186411,-5.92690565e-05,9.99931409
2.25198911,-5.92401919e-05,9.99921902
2.25223911,-5.91824087e-05,9.99901037
2.25273911,-5.9068778e-05,9.99851906
2.25373911,-5.88427832e-05,9.9972404
2.25573911,-5.83874569e-05,9.99349913
2.25598911,-5.83297865e-05,9.9929205
2.25648911,-5.82141689e-05,9.99168926
2.25661411,-5.81851695e-05,9.99136605
2.25686411,-5.81270406e-05,9.99070112
2.25692661,-5.8112367e-05,9.99053104
2.25705161,-5.80834574e-05,9.99018625
2.25730161,-5.80251303e-05,9.98947819
2.25780161,-5.79083788e-05,9.98798812
2.25880161,-5.76722708e-05,9.98471227
2.26080161,-5.7193426e-05,9.97697817
2.26280161,-5.6710773e-05,9.9676686
2.26480161,-5.6221662e-05,9.95678501
2.26680161,-5.57325514e-05,9.94432913
2.26880161,-5.52293448e-05,9.93030292
2.26905161,-5.51710332e-05,9.92843934
2.26955161,-5.50453601e-05,9.92463869
2.27055161,-5.4793071e-05,9.91674357
2.27255161,-5.42803906e-05,9.89977917
2.27455161,-5.37676548e-05,9.88125148
2.27655161,-5.3250867e-05,9.86116343
2.27855161,-5.27303514e-05,9.83951819
2.28055161,-5.22064551e-05,9.81631917
2.28255161,-5.16795128e-05,9.79157004
2.28455161,-5.11498461e-05,9.76527471
2.28655161,-5.06177639e-05,9.73743732
2.28855161,-5.00835625e-05,9.70806229
2.29055161,-4.96176073e-05,9.67715424
2.29255161,-4.9171581e-05,9.64471805
2.29455161,-4.87267834e-05,9.61075885
2.29655161,-4.82721843e-05,9.575282
2.29855161,-4.78165138e-05,9.5382931
2.30055161,-4.73571586e-05,9.499798
2.30255161,-4.68943013e-05,9.45980276
2.30280161,-4.68391315e-05,9.45469819
2.30330161,-4.67228041e-05,9.44441908
2.30430161,-4.64895327e-05,9.42358132
2.30630161,-4.60272325e-05,9.38079056
2.30830161,-4.55592512e-05,9.33651845
2.31030161,-4.50911101e-05,9.29077201
2.31230161,-4.46202156e-05,9.24355844
2.31430161,-4.41467224e-05,9.19488521
2.31630161,-4.36708031e-05,9.14476
2.31830161,-4.31926268e-05,9.09319073
2.32030161,-4.27123585e-05,9.04018553
2.32230161,-4.22301589e-05,8.98575279
2.32430161,-4.1749061e-05,8.92990109
2.32630161,-4.12634022e-05,8.87263926
2.32830161,-4.07735923e-05,8.81397633
2.33030161,-4.02851727e-05,8.75392158
2.33230161,-3.97955836e-05,8.69248448
2.33430161,-3.93049407e-05,8.62967473
2.33630161,-3.88133745e-05,8.56550226
2.33830161,-3.83210116e-05,8.4999772
2.34030161,-3.78279739e-05,8.43310989
2.34230161,-3.73370091e-05,8.3649109
2.34430161,-3.68403782e-05,8.29539099
2.34630161,-3.63485636e-05,8.22456114
2.34830161,-3.58514115e-05,8.15243254
2.35030161,-3.53566509e-05,8.07901658
2.35230161,-3.48648234e-05,8.00432484
2.35430161,-3.43696094e-05,7.92836913
2.35630161,-3.3872558e-05,7.85116144
2.35830161,-3.33805401e-05,7.77271395
2.36030161,-3.28996459e-05,7.69303907
2.36230161,-3.24207962e-05,7.61214937
2.36255161,-3.23630699e-05,7.60195337
2.36305161,-3.22437084e-05,7.58150513
2.36405161,-3.20048469e-05,7.54038438
2.36605161,-3.15247586e-05,7.45725147
2.36805161,-3.10460473e-05,7.37294097
2.37005161,-3.05669418e-05,7.28746619
2.37205161,-3.00875313e-05,7.20084065
2.37405161,-2.96079026e-05,7.113078
2.37605161,-2.91281402e-05,7.02419212
2.37805161,-2.86483234e-05,6.93419704
2.38005161,-2.81722138e-05,6.84310696
2.38205161,-2.76933738e-05,6.75093628
2.38230161,-2.76354417e-05,6.73933969
2.38280161,-2.75161781e-05,6.71609665
2.38380161,-2.72924249e-05,6.66941194
2.38580161,-2.6861195e-05,6.57525449
2.38780161,-2.64298729e-05,6.48005873
2.38980161,-2.59951066e-05,6.38383969
2.39180161,-2.5559419e-05,6.28661257
2.39380161,-2.51220152e-05,6.18839272
2.39580161,-2.468292e-05,6.08919565
2.39780161,-2.42421486e-05,5.98903703
2.39980161,-2.37997191e-05,5.88793266
2.40005161,-2.374501e-05,5.87522891
2.40055161,-2.36340951e-05,5.84977796
